"original_failure_id","county","place_geoid","status"
"LP24449-ledger-00457","yoakum-tx","4819984","FIXED"
"LP24449-ledger-00458","lamar-tx","4820020","FIXED"
"LP24449-ledger-00459","red-river-tx","4820020","FIXED"
"LP24449-ledger-00460","dallas-tx","4820092","FIXED"
"LP24449-ledger-00461","red-river-tx","4820128","FIXED"
"LP24449-ledger-00462","liberty-tx","4820140","FIXED"
"LP24449-ledger-00463","medina-tx","4820152","FIXED"
"LP24449-ledger-00464","newton-tx","4820212","FIXED"
"LP24449-ledger-00465","medina-tx","4820248","FIXED"
"LP24449-ledger-00466","angelina-tx","4820308","FIXED"
"LP24449-ledger-00467","dickens-tx","4820332","FIXED"
"LP24449-ledger-00468","galveston-tx","4820344","FIXED"
"LP24449-ledger-00469","frio-tx","4820428","FIXED"
"LP24449-ledger-00470","lee-tx","4820452","FIXED"
"LP24449-ledger-00471","castro-tx","4820464","FIXED"
